generation_id,generation_index,average_fitness
04661190,0,0.0
0d631bc9,1,0.0
eaf23fb6,2,0.0
c128f3d3,3,0.0
73a54270,4,0.0
d62243a4,5,0.0
1ea35e7b,6,0.0
e003ce96,7,0.0
85988918,8,0.0
456d88a0,9,0.0
b270ff73,10,0.0
36c721e0,11,0.0
4c3b90cf,12,0.0
72759462,13,0.0
ff36c236,14,0.0
7169ac63,15,0.0
43d486f7,16,0.0
ae4a6fbe,17,0.0
6c9824b0,18,0.0
1435d9e8,19,0.0
606dcb77,20,0.0
f9e9a4e4,21,0.0
97a60615,22,0.0
3669c56b,23,0.0
990a8130,24,0.0
12f94723,25,0.0
41635a9e,26,0.0
66a568d3,27,0.0
1efd37aa,28,0.0
c3426d22,29,0.0
28f8facc,30,0.0
f7a88fd8,31,0.0
e505f646,32,0.0
a77b3e02,33,0.0
3fdb9973,34,0.0
ef5e2839,35,0.0
d8545d29,36,0.0
676112ca,37,0.0
63960a1f,38,0.0
e06ca199,39,0.0
208dfae6,40,0.0
6191b1c7,41,0.0
48be7ad1,42,0.0
d474b0a5,43,0.0
d63fc188,44,0.0
ca039886,45,0.0
5c01816b,46,0.0
20999ca4,47,0.0
30e2679a,48,0.0
4ddcbe3f,49,0.0
